2025-09-09 13:35:15,729 - PING-AGENT - INFO - [Desktop] Ping/Keepalive Agent booting — 2025-09-09T11:35:15.729476
2025-09-09 13:35:15,733 - PING-AGENT - INFO - No config found, creating default at /home/eri-irfos/.config/ping_monitor.json
2025-09-09 13:38:15,236 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:38:15.236067', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 29.642/107.743/267.917/96.591 ms'}
2025-09-09 13:38:18,294 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:38:18.294631', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 26.439/56.684/116.009/35.183 ms'}
2025-09-09 13:38:51,613 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:38:51.613538', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 47.944/170.319/280.810/102.195 ms'}
2025-09-09 13:38:54,184 - PING-AGENT - INFO - [Desktop] Ping/Keepalive Agent booting — 2025-09-09T11:38:54.184932
2025-09-09 13:38:54,733 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:38:54.733934', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 20.887/45.118/94.476/29.088 ms'}
2025-09-09 13:38:57,222 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:38:57.222905', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 32.022/49.248/64.876/12.013 ms'}
2025-09-09 13:38:57,853 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:38:57.853799', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 28.506/57.983/104.171/28.213 ms'}
2025-09-09 13:39:00,249 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:39:00.249445', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 21.421/67.457/196.330/74.433 ms'}
2025-09-09 13:39:01,163 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:39:01.163752', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3005ms', 'rtt_line': 'rtt min/avg/max/mdev = 18.654/91.779/298.096/119.204 ms'}
2025-09-09 13:39:03,315 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:39:03.315783', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 25.481/47.995/60.221/14.130 ms'}
2025-09-09 13:39:06,354 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:39:06.354704', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 28.524/55.378/121.077/38.084 ms'}
2025-09-09 13:39:34,235 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:39:34.235635', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 36.579/48.121/75.265/15.917 ms'}
2025-09-09 13:39:37,275 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:39:37.275622', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 28.061/49.511/81.621/22.162 ms'}
2025-09-09 13:39:39,433 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:39:39.433370', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3001ms', 'rtt_line': 'rtt min/avg/max/mdev = 45.327/62.850/94.103/19.691 ms'}
2025-09-09 13:39:40,316 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:39:40.316385', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 33.660/64.436/133.234/40.633 ms'}
2025-09-09 13:39:42,463 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:39:42.463398', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 25.695/51.015/96.959/28.891 ms'}
2025-09-09 13:39:43,354 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:39:43.354870', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 31.823/99.899/212.645/72.916 ms'}
2025-09-09 13:39:45,708 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:39:45.708219', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 30.466/124.531/239.309/91.866 ms'}
2025-09-09 13:39:48,743 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:39:48.743526', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3005ms', 'rtt_line': 'rtt min/avg/max/mdev = 22.865/42.658/90.872/27.931 ms'}
2025-09-09 13:40:16,422 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:40:16.422649', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 30.938/43.293/72.816/17.123 ms'}
2025-09-09 13:40:19,460 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:40:19.460559', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 20.921/26.523/30.891/3.864 ms'}
2025-09-09 13:40:21,816 - PING-AGENT - INFO - [PING] {'host': '8.8.8.8', 'status': 'success', 'timestamp': '2025-09-09T13:40:21.816543', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3003ms', 'rtt_line': 'rtt min/avg/max/mdev = 38.107/84.235/212.256/74.015 ms'}
2025-09-09 13:40:22,537 - PING-AGENT - INFO - [PING] {'host': '208.67.222.222', 'status': 'success', 'timestamp': '2025-09-09T13:40:22.537190', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3005ms', 'rtt_line': 'rtt min/avg/max/mdev = 28.872/40.928/66.142/14.751 ms'}
2025-09-09 13:40:24,846 - PING-AGENT - INFO - [PING] {'host': '1.1.1.1', 'status': 'success', 'timestamp': '2025-09-09T13:40:24.846143', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3002ms', 'rtt_line': 'rtt min/avg/max/mdev = 25.436/53.598/98.244/28.654 ms'}
2025-09-09 13:40:25,621 - PING-AGENT - INFO - [PING] {'host': '9.9.9.9', 'status': 'success', 'timestamp': '2025-09-09T13:40:25.621457', 'packet_loss_line': '4 packets transmitted, 4 received, 0% packet loss, time 3004ms', 'rtt_line': 'rtt min/avg/max/mdev = 29.014/57.355/134.537/44.589 ms'}
